hiy,diy,hid,L06,L01,L02,L03,L05,L04,,"﻿'L01': ['DK1', 'DK2'],"
0,1,0,245,590,0,107,585,1332,," 'L02': ['DK1', 'DE'],"
1,1,1,345,590,0,150,585,1332,," 'L03': ['DK1', 'NO2'],"
2,1,2,376,590,0,164,585,1332,," 'L04': ['DK1', 'SE3'],"
3,1,3,382,590,0,166,585,1332,," 'L05': ['DK2', 'DE'],"
4,1,4,379,590,0,165,585,1332,," 'L06': ['DK2', 'SE4']"
5,1,5,367,590,0,160,585,1332,,
6,1,6,408,590,0,178,585,1332,,
7,1,7,545,590,0,237,585,1332,,
8,1,8,696,590,0,303,585,1332,,
9,1,9,737,590,0,321,585,1332,,
10,1,10,663,590,0,289,585,1332,,
11,1,11,685,590,0,298,585,1332,,
12,1,12,707,590,0,308,585,1332,,
13,1,13,693,590,0,301,585,1332,,
14,1,14,786,590,0,342,585,1332,,
15,1,15,1002,590,0,436,585,1332,,
16,1,16,1182,590,0,515,585,1332,,
17,1,17,1243,590,0,541,585,1332,,
18,1,18,1231,590,0,536,585,1332,,
19,1,19,1229,590,0,535,585,1332,,
20,1,20,1181,590,0,514,585,1332,,
21,1,21,1045,590,0,455,585,1332,,
22,1,22,920,590,0,401,585,1332,,
23,1,23,925,590,0,403,585,1332,,
24,2,0,778,590,0,338,585,1332,,
25,2,1,727,590,0,316,585,1332,,
26,2,2,762,590,0,332,585,1332,,
27,2,3,789,590,0,344,585,1332,,
28,2,4,785,590,0,342,585,1332,,
29,2,5,787,590,0,343,585,1332,,
30,2,6,900,590,0,392,585,1332,,
31,2,7,1040,590,0,453,585,1332,,
32,2,8,1092,590,0,475,585,1332,,
33,2,9,1088,590,0,473,585,1332,,
34,2,10,991,590,0,431,585,1332,,
35,2,11,973,590,0,423,585,1332,,
36,2,12,947,590,0,412,585,1332,,
37,2,13,1019,590,0,444,585,1332,,
38,2,14,997,590,0,434,585,1332,,
39,2,15,987,590,0,429,585,1332,,
40,2,16,1211,590,0,527,585,1332,,
41,2,17,1244,590,0,541,585,1332,,
42,2,18,1213,590,0,528,585,1332,,
43,2,19,1181,590,0,514,585,1332,,
44,2,20,1147,590,0,499,585,1332,,
45,2,21,1130,590,0,492,585,1332,,
46,2,22,1148,590,0,500,585,1332,,
47,2,23,1095,590,0,476,585,1332,,
48,3,0,778,590,0,339,585,1332,,
49,3,1,707,590,0,308,585,1332,,
50,3,2,587,590,0,256,585,1332,,
51,3,3,621,590,0,270,585,1332,,
52,3,4,773,590,0,336,585,1332,,
53,3,5,1129,590,0,492,585,1332,,
54,3,6,1466,590,0,638,585,1332,,
55,3,7,1700,590,0,740,585,1332,,
56,3,8,1662,590,0,723,585,1332,,
57,3,9,1567,590,0,682,585,853,,
58,3,10,1476,590,0,642,585,853,,
59,3,11,1423,590,0,620,585,853,,
60,3,12,1395,590,0,607,585,853,,
61,3,13,1305,590,0,568,585,853,,
