hiy,diy,hid,DK1,DK2,
0,1,0,1590,1225,
1,1,1,1563,1177,
2,1,2,1483,1113,
3,1,3,1408,1085,
4,1,4,1429,1050,
5,1,5,1444,1038,
6,1,6,1470,1058,
7,1,7,1535,1103,
8,1,8,1616,1140,
9,1,9,1704,1215,
10,1,10,1826,1332,
11,1,11,1914,1401,
12,1,12,1950,1424,
13,1,13,1911,1451,
14,1,14,1901,1483,
15,1,15,1944,1527,
16,1,16,2125,1647,
17,1,17,2345,1758,
18,1,18,2298,1732,
19,1,19,2177,1644,
20,1,20,2005,1536,
21,1,21,1872,1443,
22,1,22,1743,1341,
23,1,23,1579,1243,
24,2,0,1477,1169,
25,2,1,1440,1099,
26,2,2,1461,1066,
27,2,3,1468,1071,
28,2,4,1542,1114,
29,2,5,1711,1220,
30,2,6,2102,1451,
31,2,7,2564,1703,
32,2,8,2804,1827,
33,2,9,2833,1859,
34,2,10,2865,1893,
35,2,11,2827,1875,
36,2,12,2669,1845,
37,2,13,2691,1829,
38,2,14,2652,1813,
39,2,15,2659,1815,
40,2,16,2827,1968,
41,2,17,3084,2149,
42,2,18,2912,2096,
43,2,19,2736,1950,
44,2,20,2538,1820,
45,2,21,2399,1678,
46,2,22,2194,1529,
47,2,23,2056,1388,
48,3,0,1878,1287,
49,3,1,1768,1231,
50,3,2,1701,1166,
51,3,3,1726,1125,
52,3,4,1776,1130,
53,3,5,1908,1196,
54,3,6,2255,1396,
55,3,7,2728,1596,
56,3,8,2949,1782,
57,3,9,2914,1929,
58,3,10,2897,1960,
59,3,11,2785,1941,
60,3,12,2726,1937,
61,3,13,2685,1937,
62,3,14,2646,1916,
63,3,15,2550,1906,
64,3,16,2667,2005,
65,3,17,2817,2136,
66,3,18,2668,2050,
67,3,19,2537,1902,
68,3,20,2358,1748,
69,3,21,2204,1606,
70,3,22,1994,1450,
71,3,23,1864,1303,
72,4,0,1727,1332,
73,4,1,1584,1274,
74,4,2,1661,1224,
75,4,3,1660,1223,
76,4,4,1643,1211,
77,4,5,1756,1280,
78,4,6,2152,1499,
79,4,7,2569,1792,
80,4,8,2761,1872,
81,4,9,2692,1896,
82,4,10,2698,1944,
83,4,11,2706,1908,
84,4,12,2613,1876,
85,4,13,2601,1892,
86,4,14,2597,1885,
87,4,15,2584,1882,
88,4,16,2670,2016,
89,4,17,2921,2186,
90,4,18,2790,2127,
91,4,19,2645,1976,
92,4,20,2504,1839,
93,4,21,2370,1725,
94,4,22,2164,1571,
95,4,23,1990,1438,
96,5,0,1961,1350,
97,5,1,1826,1293,
98,5,2,1779,1275,
99,5,3,1779,1279,
100,5,4,1852,1321,
101,5,5,2002,1415,
102,5,6,2397,1666,
103,5,7,2886,1990,
104,5,8,3064,2078,
105,5,9,3052,2089,
106,5,10,3105,2081,
107,5,11,3072,2060,
108,5,12,2974,2044,
109,5,13,3003,2010,
110,5,14,2973,2003,
111,5,15,2942,2024,
112,5,16,3079,2188,
113,5,17,3347,2367,
114,5,18,3210,2294,
115,5,19,3000,2169,
116,5,20,2823,2019,
117,5,21,2657,1883,
118,5,22,2472,1742,
119,5,23,2282,1592,
120,6,0,2152,1493,
121,6,1,2088,1446,
122,6,2,2048,1429,
123,6,3,2043,1437,
124,6,4,2083,1462,
125,6,5,2212,1561,
126,6,6,2580,1819,
127,6,7,3016,2089,
128,6,8,3157,2181,
129,6,9,3076,2220,
130,6,10,3064,2241,
131,6,11,2968,2201,
132,6,12,2774,2123,
133,6,13,2683,2074,
134,6,14,2629,2013,
135,6,15,2622,2012,
136,6,16,2784,2164,
137,6,17,2974,2328,
138,6,18,2850,2286,
139,6,19,2615,2118,
140,6,20,2439,1948,
141,6,21,2269,1823,
142,6,22,2080,1688,
143,6,23,1890,1553,
144,7,0,1791,1447,
145,7,1,1713,1368,
146,7,2,1664,1337,
147,7,3,1666,1313,
148,7,4,1700,1318,
149,7,5,1743,1339,
150,7,6,1851,1413,
151,7,7,2041,1530,
152,7,8,2249,1663,
153,7,9,2371,1769,
154,7,10,2400,1824,
155,7,11,2364,1843,
156,7,12,2319,1836,
157,7,13,2245,1829,
158,7,14,2209,1839,
159,7,15,2254,1861,
160,7,16,2431,1949,
161,7,17,2670,2069,
162,7,18,2599,2031,
163,7,19,2385,1875,
164,7,20,2232,1752,
165,7,21,2111,1653,
166,7,22,1997,1542,
167,7,23,1890,1448,
168,8,0,1790,1361,
169,8,1,1711,1285,
170,8,2,1685,1247,
171,8,3,1695,1236,
172,8,4,1703,1243,
173,8,5,1746,1260,
174,8,6,1839,1317,
175,8,7,1980,1418,
176,8,8,2150,1548,
177,8,9,2267,1660,
178,8,10,2337,1743,
179,8,11,2326,1787,
180,8,12,2303,1797,
181,8,13,2271,1770,
182,8,14,2257,1760,
183,8,15,2270,1774,
184,8,16,2438,1918,
185,8,17,2728,2070,
186,8,18,2639,2057,
187,8,19,2438,1931,
188,8,20,2270,1783,
189,8,21,2119,1653,
190,8,22,1954,1514,
191,8,23,1807,1377,
192,9,0,1732,1281,
193,9,1,1699,1230,
194,9,2,1664,1209,
195,9,3,1671,1222,
196,9,4,1764,1237,
197,9,5,1905,1343,
198,9,6,2339,1601,
199,9,7,2790,1875,
200,9,8,2955,1985,
201,9,9,2927,1989,
202,9,10,2975,2011,
203,9,11,2923,2003,
204,9,12,2838,1979,
205,9,13,2846,1980,
206,9,14,2745,1975,
207,9,15,2667,1948,
208,9,16,2772,2053,
209,9,17,2970,2213,
210,9,18,2813,2122,
211,9,19,2574,1969,
212,9,20,2383,1832,
213,9,21,2225,1695,
214,9,22,2031,1536,
215,9,23,1889,1394,
216,10,0,1808,1305,
217,10,1,1801,1243,
218,10,2,1730,1216,
