UNIT ID,UNIT NAME,fuel,Type,Area,Node,Zone,Pmin,Pmax,Qmin,Qmax,Ce,Ch,C0,Cs,Ns,Emax,Relec,Rheat,Fmin,Fmax,Rmin,
G1,-,Fossil Gas,thermal elec.,-,-,DK1,0.000,41.340,0.000,0.000,53.297,0.000,44.066,8.813,3.000,0.000,0.000,0.000,0.000,0.000,0.000,
G2,-,Fossil Gas,thermal elec.,-,-,DK1,0.000,6.250,0.000,0.000,50.758,0.000,6.345,1.269,3.000,0.000,0.000,0.000,0.000,0.000,0.000,
G3,-,Fossil Gas,thermal elec.,-,-,DK1,0.000,2.410,0.000,0.000,52.848,0.000,2.547,0.509,3.000,0.000,0.000,0.000,0.000,0.000,0.000, 
G4,-,Fossil Gas,thermal elec.,-,-,DK1,0.000,41.690,0.000,0.000,52.755,0.000,43.987,8.797,3.000,0.000,0.000,0.000,0.000,0.000,0.000,
G5,Bredkær,Fossil Gas,thermal elec.,-,-,DK1,0.000,75.440,0.000,0.000,53.473,0.000,80.680,16.136,3.000,0.000,0.000,0.000,0.000,0.000,0.000,
G6,-,Fossil Gas,thermal elec.,-,-,DK1,0.000,9.640,0.000,0.000,50.537,0.000,9.744,1.949,3.000,0.000,0.000,0.000,0.000,0.000,0.000,
G7,-,Fossil Gas,thermal elec.,-,-,DK1,0.000,17.730,0.000,0.000,57.301,0.000,20.319,4.064,3.000,0.000,0.000,0.000,0.000,0.000,0.000,
G8,-,Fossil Gas,thermal elec.,-,-,DK1,0.000,37.710,0.000,0.000,53.153,0.000,40.088,8.018,3.000,0.000,0.000,0.000,0.000,0.000,0.000,
G9,Bjørnholt,Fossil Gas,thermal elec.,-,-,DK1,0.000,121.030,0.000,0.000,48.882,0.000,118.324,23.665,3.000,0.000,0.000,0.000,0.000,0.000,0.000,
G10,-,Fossil Gas,thermal elec.,-,-,DK1,0.000,12.650,0.000,0.000,50.208,0.000,12.703,2.541,3.000,0.000,0.000,0.000,0.000,0.000,0.000,
G11,-,Fossil Gas,thermal elec.,-,-,DK1,0.000,20.710,0.000,0.000,56.447,0.000,23.380,4.676,3.000,0.000,0.000,0.000,0.000,0.000,0.000,
G12,-,Fossil Gas,thermal elec.,-,-,DK1,0.000,7.430,0.000,0.000,50.693,0.000,7.533,1.507,3.000,0.000,0.000,0.000,0.000,0.000,0.000,
G13,Fraugde,Fossil Gas,thermal elec.,-,-,DK1,0.000,58.820,0.000,0.000,57.878,0.000,68.088,13.618,3.000,0.000,0.000,0.000,0.000,0.000,0.000,
G14,-,Other,thermal elec.,-,-,DK1,0.000,17.530,0.000,0.000,121.452,0.000,42.581,8.516,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
G15,-,Fossil Gas,thermal elec.,-,-,DK1,0.000,9.210,0.000,0.000,50.229,0.000,9.252,1.850,3.000,0.000,0.000,0.000,0.000,0.000,0.000,
G16,-,Other,thermal elec.,-,-,DK1,0.000,25.810,0.000,0.000,112.055,0.000,57.843,11.569,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
G17,-,Fossil Gas,thermal elec.,-,-,DK1,0.000,18.220,0.000,0.000,56.940,0.000,20.749,4.150,3.000,0.000,0.000,0.000,0.000,0.000,0.000,
