hiy,diy,hid,KBH_1,KBH_2,KBH_3,KBH_4,KBH_5,KBH_6,KBH_7,KBH_8,KBH_9,KBH_10,KBH_11,KBH_12,KBH_13,KBH_14,AAR_1,AAR_2,AAR_3,AAR_4,AAR_5,AAR_6,AAR_7,AAR_8,AAR_9,TVIS_1,TVIS_2,TVIS_3,TVIS_4,TVIS_5,TVIS_6,copenhagen (MWh),TVIS (MWh),Aarhus (MWh)
0,1,0,146.6718456,73.33592279,146.6718456,146.6718456,73.33592279,73.33592279,73.33592279,146.6718456,146.6718456,73.33592279,73.33592279,73.33592279,73.33592279,146.6718456,162.4299778,81.21498888,81.21498888,81.21498888,81.21498888,81.21498888,81.21498888,81.21498888,81.21498888,72.72984079,72.72984079,96.97312105,72.72984079,96.97312105,72.72984079,1466.718456,484.8656052,812.1498888
1,1,1,242.4170477,161.6113651,161.6113651,161.6113651,80.80568257,80.80568257,80.80568257,161.6113651,161.6113651,80.80568257,80.80568257,80.80568257,80.80568257,161.6113651,178.9745697,89.48728483,89.48728483,89.48728483,89.48728483,89.48728483,89.48728483,89.48728483,89.48728483,80.13786701,80.13786701,106.8504893,80.13786701,106.8504893,80.13786701,1616.113651,534.2524467,894.8728483
2,1,2,246.8376282,164.5584188,164.5584188,164.5584188,82.2792094,82.2792094,82.2792094,164.5584188,164.5584188,82.2792094,82.2792094,82.2792094,82.2792094,164.5584188,182.2382489,91.11912446,91.11912446,91.11912446,91.11912446,91.11912446,91.11912446,91.11912446,91.11912446,81.59921593,81.59921593,108.7989546,81.59921593,108.7989546,81.59921593,1645.584188,543.9947729,911.1912446
3,1,3,246.7063238,164.4708825,164.4708825,164.4708825,82.23544127,82.23544127,82.23544127,164.4708825,164.4708825,82.23544127,82.23544127,82.23544127,82.23544127,164.4708825,182.1413079,91.07065397,91.07065397,91.07065397,91.07065397,91.07065397,91.07065397,91.07065397,91.07065397,81.55580953,81.55580953,108.7410794,81.55580953,108.7410794,81.55580953,1644.708825,543.7053969,910.7065397
4,1,4,252.906808,168.6045387,168.6045387,168.6045387,84.30226934,84.30226934,84.30226934,168.6045387,168.6045387,84.30226934,84.30226934,84.30226934,84.30226934,168.6045387,186.7190759,93.35953794,93.35953794,93.35953794,93.35953794,93.35953794,93.35953794,93.35953794,93.35953794,83.60555637,83.60555637,111.4740752,83.60555637,111.4740752,83.60555637,1686.045387,557.3703758,933.5953794
5,1,5,266.9126076,177.9417384,177.9417384,177.9417384,88.9708692,88.9708692,88.9708692,177.9417384,177.9417384,88.9708692,88.9708692,88.9708692,88.9708692,177.9417384,197.0594458,98.52972291,98.52972291,98.52972291,98.52972291,98.52972291,98.52972291,98.52972291,98.52972291,88.23557276,88.23557276,117.6474303,88.23557276,117.6474303,88.23557276,1779.417384,588.2371517,985.2972291
6,1,6,269.2906756,179.5271171,179.5271171,179.5271171,89.76355855,89.76355855,89.76355855,179.5271171,179.5271171,89.76355855,89.76355855,89.76355855,89.76355855,179.5271171,198.8151545,99.40757724,99.40757724,99.40757724,99.40757724,99.40757724,99.40757724,99.40757724,99.40757724,89.02171096,89.02171096,118.6956146,89.02171096,118.6956146,89.02171096,1795.271171,593.478073,994.0757724
7,1,7,267.3794676,178.2529784,178.2529784,178.2529784,89.12648919,89.12648919,89.12648919,178.2529784,178.2529784,89.12648919,89.12648919,89.12648919,89.12648919,178.2529784,197.4041248,98.70206241,98.70206241,98.70206241,98.70206241,98.70206241,98.70206241,98.70206241,98.70206241,88.38990664,88.38990664,117.8532088,88.38990664,117.8532088,88.38990664,1782.529784,589.2660442,987.0206241
8,1,8,270.3411106,180.2274071,180.2274071,180.2274071,90.11370354,90.11370354,90.11370354,180.2274071,180.2274071,90.11370354,90.11370354,90.11370354,90.11370354,180.2274071,199.5906822,99.79534111,99.79534111,99.79534111,99.79534111,99.79534111,99.79534111,99.79534111,99.79534111,89.36896219,89.36896219,119.1586162,89.36896219,119.1586162,89.36896219,1802.274071,595.7930812,997.9534111
9,1,9,268.9259413,179.2839609,179.2839609,179.2839609,89.64198043,89.64198043,89.64198043,179.2839609,179.2839609,89.64198043,89.64198043,89.64198043,89.64198043,179.2839609,198.545874,99.272937,99.272937,99.272937,99.272937,99.272937,99.272937,99.272937,99.272937,88.90113761,88.90113761,118.5348502,88.90113761,118.5348502,88.90113761,1792.839609,592.6742508,992.72937
